BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
Brokered by Serhant,Condo for sale,1465000,2,1.0,1107.0,61 N Henry St Fl 4,"Brooklyn, NY 11222","61 N Henry St Fl 4Brooklyn, NY 11222",New York,Kings County,Brooklyn,Greenpoint,61,"61 N Henry St Fl 4, Brooklyn, NY 11222, USA",40.7213959,-73.9430921
Brokered by Voro Llc,Co-op for sale,278000,1,1.0,2184.207862,39-82 65th Pl Unit 4F,"Woodside, NY 11377","39-82 65th Pl Unit 4FWoodside, NY 11377",New York,Queens County,Queens,Flushing,39-82,"39-82 65th Pl #4f, Queens, NY 11377, USA",40.7439196,-73.8992843
Brokered by COMPASS,Co-op for sale,469000,2,1.0,2184.207862,21-41 34th Ave Unit 5D,"Astoria, NY 11106","21-41 34th Ave Unit 5DAstoria, NY 11106",New York,Queens County,Queens,Astoria,21-41,"21-41 34th Ave #5d, Astoria, NY 11106, USA",40.7623991,-73.9321744
Brokered by Weichert Realtors TMT Group,Co-op for sale,225000,1,1.0,2184.207862,35-41 205 St Unit 291,"Bayside, NY 11361","35-41 205 St Unit 291Bayside, NY 11361",New York,Queens County,Queens,Bayside,3541,"3541 205th St # 291, Bayside, NY 11361, USA",40.7667099,-73.78272
Brokered by Brown Harris Stevens,Co-op for sale,3295000,2,2.0,2184.207862,11 E 92nd St Apt 1,"Manhattan, NY 10128","11 E 92nd St Apt 1Manhattan, NY 10128",New York,New York County,New York,Manhattan,11,"11 E 92nd St Apt 1f, New York, NY 10128, USA",40.7852991,-73.9571579
Brokered by Elegran Real Estate And Development,Co-op for sale,595000,2,1.0,2184.207862,328 W 96th St Apt 5C,"New York, NY 10025","328 W 96th St Apt 5CNew York, NY 10025",New York,New York County,New York,Manhattan,328,"328 W 96th St #5c, New York, NY 10025, USA",40.7955171,-73.9745834
Brokered by Chous Realty Group Inc,Condo for sale,269000,3,1.0,485.0,2900 Ocean Ave Apt 5N,"Brooklyn, NY 11235","2900 Ocean Ave Apt 5NBrooklyn, NY 11235",New York,Kings County,Brooklyn,Sheepshead Bay,2900,"2900 Ocean Ave #5n, Brooklyn, NY 11235, USA",40.590145,-73.9499887
Brokered by Corcoran East Side,Co-op for sale,6995000,4,4.0,2184.207862,1050 Fifth Ave Apt 17D,"New York, NY 10028","1050 Fifth Ave Apt 17DNew York, NY 10028",New York,New York County,New York,Manhattan,1050,"1050 5th Ave #17d, New York, NY 10028, USA",40.7816743,-73.9600313
Brokered by COMPASS,Co-op for sale,1150000,2,1.0,900.0,114 Garfield Pl Apt 1R,"Brooklyn, NY 11215","114 Garfield Pl Apt 1RBrooklyn, NY 11215",New York,Kings County,Brooklyn,Park Slope,114,"114 Garfield Pl #1r, Brooklyn, NY 11215, USA",40.6737554,-73.9803629
Brokered by William Raveis New York City,Contingent,595000,1,1.0,2184.207862,10 Park Ave Unit 11K,"New York, NY 10016","10 Park Ave Unit 11KNew York, NY 10016",New York,New York County,New York,Manhattan,10,"10 Park Ave #11c, New York, NY 10016, USA",40.7473555,-73.9813841
Brokered by RE MAX Edge,Condo for sale,799000,5,2.0,1500.0,1025 45th St Unit 4,"Brooklyn, NY 11219","1025 45th St Unit 4Brooklyn, NY 11219",New York,Kings County,Brooklyn,Borough Park,1025,"1025 45th St APT 4D, Brooklyn, NY 11219, USA",40.6409434,-73.9953527
Brokered by COMPASS,Condo for sale,2110000,2,2.0,1326.0,327 E 22nd St Unit 6A,"Manhattan, NY 10010","327 E 22nd St Unit 6AManhattan, NY 10010",New York,New York County,New York,Manhattan,327,"327 E 22nd St #6, New York, NY 10010, USA",40.7367893,-73.9799267
"Brokered by AMERIHOMES REALTY OF NY, INC.",Co-op for sale,385000,1,1.0,779.0,1625 Emmons Ave Apt 4Y,"Brooklyn, NY 11235","1625 Emmons Ave Apt 4YBrooklyn, NY 11235",New York,Kings County,Brooklyn,Sheepshead Bay,1625,"1625 Emmons Ave Apt 4b, Brooklyn, NY 11235, USA",40.5834583,-73.9522667
Brokered by Myrta55 Real Estate - Myrta 55 Real Estate,Condo for sale,539000,2,1.0,708.0,307 72nd St Apt 4B,"Brooklyn, NY 11209","307 72nd St Apt 4BBrooklyn, NY 11209",New York,Kings County,Brooklyn,Bay Ridge,307,"307 72nd St #4b, Brooklyn, NY 11209, USA",40.633546,-74.0266446
Brokered by One Manhattan real estate - Upper East Side office,Co-op for sale,739000,2,1.0,2184.207862,529 E 84th St Apt 2B,"New York, NY 10028","529 E 84th St Apt 2BNew York, NY 10028",New York,New York County,New York,Manhattan,529,"529 E 84th St #2b, New York, NY 10028, USA",40.7741621,-73.9467221
Brokered by Corcoran Chelsea/Flatiron,Co-op for sale,5900000,3,4.0,3000.0,410 W 24th St # 18BCE,"New York, NY 10011","410 W 24th St # 18BCENew York, NY 10011",New York,New York County,New York,Manhattan,410,"410 W 24th St #18b, New York, NY 10011, USA",40.7472085,-74.0013378
Brokered by COMPASS,Condo for sale,2700000,3,3.0,1689.0,555 W 59th St Apt 19B,"Manhattan, NY 10019","555 W 59th St Apt 19BManhattan, NY 10019",New York,New York County,New York,Manhattan,555,"555 W 59th St #19b, New York, NY 10019, USA",40.7715251,-73.9895943
"Brokered by Modern Spaces, LLC",Condo for sale,898000,1,2.0,1340.0,215 Cornelia St Unit 1A,"Brooklyn, NY 11221","215 Cornelia St Unit 1ABrooklyn, NY 11221",New York,Kings County,Brooklyn,Bushwick,215,"215 Cornelia St #1a, Brooklyn, NY 11221, USA",40.6928399,-73.9131908
Brokered by COMPASS,Co-op for sale,189990,1,1.0,2184.207862,151-31 88th St Unit 2F,"Howard Beach, NY 11414","151-31 88th St Unit 2FHoward Beach, NY 11414",New York,Queens County,Queens,Jamaica,151-31,"151-31 88th St #2f, Jamaica, NY 11414, USA",40.6668092,-73.8471901
Brokered by COMPASS,Co-op for sale,550000,3,1.0,2184.207862,24 5th Ave Apt 510,"Manhattan, NY 10011","24 5th Ave Apt 510Manhattan, NY 10011",New York,New York County,New York,Manhattan,24,"24 5th Ave Apt 510, New York, NY 10011, USA",40.7330596,-73.9959886
Brokered by Douglas Elliman  -111 Fifth Ave,Co-op for sale,2100000,3,3.0,1968.0,285 Riverside Dr Apt 11G,"New York, NY 10025","285 Riverside Dr Apt 11GNew York, NY 10025",New York,New York County,New York,Manhattan,285,"285 Riverside Dr #11g, New York, NY 10025, USA",40.7989206,-73.9723967
Brokered by Corcoran West Side Gallery,Co-op for sale,1795000,4,3.0,2184.207862,622 W 114th St Apt 53,"New York, NY 10025","622 W 114th St Apt 53New York, NY 10025",New York,New York County,New York,Manhattan,622,"622 W 114th St #53, New York, NY 10025, USA",40.80699,-73.966129
Brokered by Broadway Realty,Condo for sale,2300000,2,2.0,1163.0,515 E 72nd St Apt 29D,"New York, NY 10021","515 E 72nd St Apt 29DNew York, NY 10021",New York,New York County,New York,Manhattan,515,"515 E 72nd St #29d, New York, NY 10021, USA",40.7666839,-73.9527719
Brokered by Island Advantage Realty Llc,Condo for sale,594900,2,1.0,729.0,306 Lincoln Rd Apt 2L,"Brooklyn, NY 11225","306 Lincoln Rd Apt 2LBrooklyn, NY 11225",New York,Kings County,Brooklyn,Prospect Lefferts Gardens,306,"306 Lincoln Rd #2l, Brooklyn, NY 11225, USA",40.6612226,-73.9525371
Brokered by CENTURY 21 Homefront,Condo for sale,639000,2,2.0,800.0,144-49 Barclay Ave Unit 7B,"Queens, NY 11355","144-49 Barclay Ave Unit 7BQueens, NY 11355",New York,Queens County,Queens,Flushing,14449,"14449 Barclay Ave APT 7A, Flushing, NY 11355, USA",40.7603904,-73.8194905
Brokered by Ivey North,Contingent,275000,3,1.0,363.0,88 Brooklyn Ave Apt A6,"Brooklyn, NY 11216","88 Brooklyn Ave Apt A6Brooklyn, NY 11216",New York,Kings County,Brooklyn,Crown Heights,88,"88 Brooklyn Ave Apt A6, Brooklyn, NY 11216, USA",40.6770084,-73.9444319
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Co-op for sale,3495000,3,3.0,2184.207862,129 E 69th St Apt 7B,"New York, NY 10021","129 E 69th St Apt 7BNew York, NY 10021",New York,New York County,New York,Manhattan,129,"129 E 69th St #7b, New York, NY 10021, USA",40.7687653,-73.9638365
Brokered by Modern Spaces Love Your Place,Pending,325000,2,1.0,2184.207862,36 Hamilton Ave Apt 6K,"Staten Island, NY 10301","36 Hamilton Ave Apt 6KStaten Island, NY 10301",New York,Richmond County,Staten Island,Mid Island,36,"36 Hamilton Ave #6b, Staten Island, NY 10301, USA",40.6449121,-74.0787385
Brokered by Elegran Real Estate And Development,Co-op for sale,500000,3,2.0,2184.207862,142 Joralemon St Ste 14D,"Brooklyn, NY 11201","142 Joralemon St Ste 14DBrooklyn, NY 11201",New York,Kings County,Brooklyn,Brooklyn Heights,142,"142 Joralemon St #14b, Brooklyn, NY 11201, USA",40.6927721,-73.9936086
Brokered by Century 21 Bay Benjamin,Condo for sale,349000,3,1.0,500.0,2 Bay Club Dr Apt 15Z4,"Bayside, NY 11360","2 Bay Club Dr Apt 15Z4Bayside, NY 11360",New York,Queens County,Queens,Bayside,2,"2 Bay Club Dr Apartment 15z4, Bayside, NY 11360, USA",40.778411,-73.781048
Brokered by NY Empire Real Estate,Co-op for sale,275000,1,1.0,2184.207862,98-20 62 Dr Unit 15F,"Rego Park, NY 11374","98-20 62 Dr Unit 15FRego Park, NY 11374",New York,Queens County,Queens,Rego Park,9820,"9820 62nd Dr Apt 15h, Rego Park, NY 11374, USA",40.7334099,-73.85851
Brokered by Winzone Realty Inc,Co-op for sale,219000,1,1.0,2184.207862,68-05 138 St Unit 3B,"Kew Gardens Hills, NY 11367","68-05 138 St Unit 3BKew Gardens Hills, NY 11367",New York,Queens County,Queens,Flushing,68-5,"68-5 138th St #3b, Flushing, NY 11367, USA",40.7315119,-73.8286528
Brokered by Brown Harris Stevens,Co-op for sale,439000,1,1.0,2184.207862,212 E 84th St Apt 2C,"Manhattan, NY 10028","212 E 84th St Apt 2CManhattan, NY 10028",New York,New York County,New York,Manhattan,212,"212 E 84th St #2c, New York, NY 10028, USA",40.7770851,-73.9541834
Brokered by COMPASS,Co-op for sale,425000,3,1.0,2184.207862,24 5th Ave Apt 1512,"Manhattan, NY 10011","24 5th Ave Apt 1512Manhattan, NY 10011",New York,New York County,New York,Manhattan,24,"24 5th Ave Apt 1512, New York, NY 10011, USA",40.7330596,-73.9959886
Brokered by Gateway Arms Realty Corp.,Condo for sale,560000,2,2.0,1008.0,155 Bay St Apt 4F,"Staten Island, NY 10301","155 Bay St Apt 4FStaten Island, NY 10301",New York,Richmond County,Staten Island,Mid Island,155,"155 Bay St #4f, Staten Island, NY 10301, USA",40.638148,-74.0756332
Brokered by Brown Harris Stevens - 445 Park Avenue,Condo for sale,699900,3,1.0,558.0,80 Park Avenue Ave Unit 10B,"Manhattan, NY 10016","80 Park Avenue Ave Unit 10BManhattan, NY 10016",New York,New York County,New York,Manhattan,80,"80 Park Ave #10b, New York, NY 10016, USA",40.7502793,-73.9795235
Brokered by ALTA Real Estate,Condo for sale,1650000,3,2.0,1493.0,150 W 51st St Apt 2116,"New York, NY 10019","150 W 51st St Apt 2116New York, NY 10019",New York,New York County,New York,Manhattan,150,"150 W 51st St APT 2116, New York, NY 10019, USA",40.7612516,-73.9826113
Brokered by Corcoran SoHo,Co-op for sale,679000,1,1.0,2184.207862,319 E 50th St Apt 9E,"New York, NY 10022","319 E 50th St Apt 9ENew York, NY 10022",New York,New York County,New York,Manhattan,319,"319 E 50th St #9e, New York, NY 10022, USA",40.7546656,-73.9675207
Brokered by COMPASS,Condo for sale,1249000,2,2.0,2158.0,271 McDonald Ave Apt 1A,"Brooklyn, NY 11218","271 McDonald Ave Apt 1ABrooklyn, NY 11218",New York,Kings County,Brooklyn,Windsor Terrace,271,"271 McDonald Ave #1a, Brooklyn, NY 11218, USA",40.648091,-73.98013
Brokered by Corcoran Park Avenue South,Co-op for sale,438000,1,1.0,2184.207862,162 E 2nd St Apt 1A,"New York, NY 10009","162 E 2nd St Apt 1ANew York, NY 10009",New York,New York County,New York,Manhattan,162,"162 E 2nd St #1a, New York, NY 10009, USA",40.7228235,-73.98509
Brokered by City Realty Group,Co-op for sale,449000,2,1.0,2184.207862,99-72 66 Rd Unit 7C,"Rego Park, NY 11374","99-72 66 Rd Unit 7CRego Park, NY 11374",New York,Queens County,Queens,Rego Park,99-72,"99-72 66th Rd #7c, Rego Park, NY 11374, USA",40.7282347,-73.8522092
Brokered by Douglas Elliman - 575 Madison Ave,Co-op for sale,699000,1,1.0,2184.207862,205 E 10th St Apt 4D,"New York, NY 10003","205 E 10th St Apt 4DNew York, NY 10003",New York,New York County,New York,Manhattan,205,"205 E 10th St #4d, New York, NY 10003, USA",40.729738,-73.9861097
Brokered by Brown Harris Stevens - 445 Park Avenue,Condo for sale,699900,3,1.0,558.0,80 Park Avenue Ave Unit 10B,"Manhattan, NY 10016","80 Park Avenue Ave Unit 10BManhattan, NY 10016",New York,New York County,New York,Manhattan,80,"80 Park Ave #10b, New York, NY 10016, USA",40.7502793,-73.9795235
Brokered by Corcoran Park Avenue South,Co-op for sale,438000,1,1.0,2184.207862,162 E 2nd St Apt 1A,"New York, NY 10009","162 E 2nd St Apt 1ANew York, NY 10009",New York,New York County,New York,Manhattan,162,"162 E 2nd St #1a, New York, NY 10009, USA",40.7228235,-73.98509
Brokered by Link Ny Realty,Co-op for sale,600000,3,2.0,1000.0,100 W 121st St Apt 64,"New York, NY 10027","100 W 121st St Apt 64New York, NY 10027",New York,New York County,New York,Manhattan,100,"100 W 121st St #64, New York, NY 10027, USA",40.8052883,-73.9478167
Brokered by BHHS New York Properties,Condo for sale,2255000,2,2.0,1450.0,540 W 49th St Ph 8N,"New York, NY 10019","540 W 49th St Ph 8NNew York, NY 10019",New York,New York County,New York,Manhattan,540,"540 W 49th St Ph 8n, New York, NY 10019, USA",40.764655,-73.994257
Brokered by Re/Max In The City,Co-op for sale,259900,2,1.0,850.0,601 Kappock St Apt 2E,"Bronx, NY 10463","601 Kappock St Apt 2EBronx, NY 10463",New York,Bronx County,The Bronx,Spuyten Duyvil,601,"601 Kappock St #2e, Bronx, NY 10463, USA",40.8789773,-73.916004
Brokered by RE MAX Edge,Co-op for sale,399000,1,1.0,750.0,9707 4th Ave Apt 5R,"Brooklyn, NY 11209","9707 4th Ave Apt 5RBrooklyn, NY 11209",New York,Kings County,Brooklyn,Fort Hamilton,9707,"9707 4th Ave #5r, Brooklyn, NY 11209, USA",40.614285,-74.0315729
Brokered by Corcoran East Side,Condo for sale,4750000,3,2.0,2060.0,40 E 62nd St Apt 5W,"New York, NY 10065","40 E 62nd St Apt 5WNew York, NY 10065",New York,New York County,New York,Manhattan,40,"40 E 62nd St #5b, New York, NY 10065, USA",40.7649484,-73.9694663
Brokered by Jamie & Connie Real Estate Grp,Condo for sale,550000,1,1.0,721.0,42-31 Colden St Unit F6D,"Flushing, NY 11355","42-31 Colden St Unit F6DFlushing, NY 11355",New York,Queens County,Queens,Flushing,42-31,"42-31 Colden St f6, Flushing, NY 11355, USA",40.7539009,-73.8261514
Brokered by RE MAX Edge,Condo for sale,888000,2,2.0,1146.0,1238 63rd St Apt D324,"Brooklyn, NY 11219","1238 63rd St Apt D324Brooklyn, NY 11219",New York,Kings County,Brooklyn,Dyker Heights,1238,"1238 63rd St #324, Brooklyn, NY 11219, USA",40.6275896,-74.0016198
"Brokered by John Edwards Real Estate, Inc.",Co-op for sale,185000,3,1.0,500.0,4705 Henry Hudson Pkwy W Apt 4A,"Bronx, NY 10471","4705 Henry Hudson Pkwy W Apt 4ABronx, NY 10471",New York,Bronx County,The Bronx,Hudson Hill,4705,"4705 Henry Hudson Pkwy W #4a, Bronx, NY 10471, USA",40.8952914,-73.9089308
Brokered by CENTURY 21 Milestone Realty,Co-op for sale,259000,2,1.0,2184.207862,285 E 35th St Apt 2D,"Brooklyn, NY 11203","285 E 35th St Apt 2DBrooklyn, NY 11203",New York,Kings County,Brooklyn,Little Haiti,285,"285 E 35th St #2d, Brooklyn, NY 11203, USA",40.6482666,-73.9442024
Brokered by COMPASS,Co-op for sale,575000,1,1.0,850.0,118 E 60th St Apt 4B,"Manhattan, NY 10022","118 E 60th St Apt 4BManhattan, NY 10022",New York,New York County,New York,Manhattan,118,"118 E 60th St #4b, New York, NY 10022, USA",40.7630774,-73.9685002
Brokered by Brown Harris Stevens,Co-op for sale,500000,4,1.0,2184.207862,133 W 140th St Apt 21,"Manhattan, NY 10030","133 W 140th St Apt 21Manhattan, NY 10030",New York,New York County,New York,Manhattan,133,"133 W 140th St #21, New York, NY 10030, USA",40.8178093,-73.9391738
Brokered by SLATE REALTY LLC,Co-op for sale,399999,2,1.0,2184.207862,648 Grand St Apt 3F,"Brooklyn, NY 11211","648 Grand St Apt 3FBrooklyn, NY 11211",New York,Kings County,Brooklyn,Southside,648,"648 Grand St #3f, Brooklyn, NY 11206, USA",40.7112984,-73.9463142
Brokered by Serhant,Condo for sale,10800000,5,6.0,4544.0,50 Bridge Park Dr Unit 22AB,"Brooklyn, NY 11201","50 Bridge Park Dr Unit 22ABBrooklyn, NY 11201",New York,Kings County,Brooklyn,Brooklyn Heights,50,"50 Bridge Park Dr #22a, Brooklyn Heights, NY 11201, USA",40.692916,-74.0008815
Brokered by Brown Harris Stevens,Co-op for sale,239000,1,1.0,750.0,3103 Fairfield Ave Apt 10J,"Bronx, NY 10463","3103 Fairfield Ave Apt 10JBronx, NY 10463",New York,Bronx County,The Bronx,Spuyten Duyvil,3103,"3103 Fairfield Ave #10j, Bronx, NY 10463, USA",40.8836826,-73.9144424
Brokered by qvtopservice,Condo for sale,599999,2,1.0,932.0,478 Bainbridge St Apt 3A,"Bedford Stuyvesant, NY 11233","478 Bainbridge St Apt 3ABedford Stuyvesant, NY 11233",New York,Kings County,Brooklyn,Ocean Hill,478,"478 Bainbridge St. #3a, Brooklyn, NY 11233, USA",40.6822675,-73.9178308
Brokered by Block & Lot Real Estate SVC,Condo for sale,699000,3,2.0,1290.0,80-06 47th Ave Unit 4P,"Elmhurst, NY 11373","80-06 47th Ave Unit 4PElmhurst, NY 11373",New York,Queens County,Queens,Elmhurst,80-06,"80-06 47th Ave #4b, Elmhurst, NY 11373, USA",40.7402182,-73.8844499
Brokered by COMPASS,Co-op for sale,5475000,4,4.0,2184.207862,900 5th Ave Apt 4A,"Manhattan, NY 10021","900 5th Ave Apt 4AManhattan, NY 10021",New York,New York County,New York,Manhattan,900,"900 5th Ave #4a, New York, NY 10021, USA",40.7719126,-73.967281
Brokered by Benjamin Realty Since 1980,Co-op for sale,224000,1,1.0,2184.207862,67-66 108 St Unit C4,"Forest Hills, NY 11375","67-66 108 St Unit C4Forest Hills, NY 11375",New York,Queens County,Queens,Forest Hills,6766,"6766 108th St Apt C4, Forest Hills, NY 11375, USA",40.7276199,-73.84686
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,590000,3,1.0,579.0,400 Central Park W Apt 3T,"New York, NY 10025","400 Central Park W Apt 3TNew York, NY 10025",New York,New York County,New York,Manhattan,400,"400 Central Park W #3b, New York, NY 10025, USA",40.7942099,-73.9636725
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Co-op for sale,1050000,3,2.0,2184.207862,205 E 63rd St Apt 19E,"New York, NY 10065","205 E 63rd St Apt 19ENew York, NY 10065",New York,New York County,New York,Manhattan,205,"205 E 63rd St #19e, New York, NY 10065, USA",40.7640501,-73.964336
Brokered by E Realty International Corp,Condo for sale,838000,3,2.0,706.0,48 Market St Apt 3A,"New York, NY 10002","48 Market St Apt 3ANew York, NY 10002",New York,New York County,New York,Manhattan,48,"48 Market St #3a, New York, NY 10002, USA",40.7118928,-73.9940945
Brokered by Corcoran Brooklyn Heights,Condo for sale,1345000,1,2.0,752.0,140 E 63rd St # 4MN,"New York, NY 10065","140 E 63rd St # 4MNNew York, NY 10065",New York,New York County,New York,Manhattan,140,"140 E 63rd St #4n, New York, NY 10065, USA",40.7644486,-73.9662417
Brokered by KELLER WILLIAMS REALTY LANDMARK II,Co-op for sale,339000,1,1.0,910.0,68-09 Booth St Unit 6M,"Forest Hills, NY 11375","68-09 Booth St Unit 6MForest Hills, NY 11375",New York,Queens County,Queens,Forest Hills,68-09,"68-09 Booth St #6c, Forest Hills, NY 11375, USA",40.7244239,-73.8511076
Brokered by Brown Harris Stevens - 1926 Broadway,Co-op for sale,999000,1,1.0,2184.207862,1010 Fifth Ave Unit 4BB,"Manhattan, NY 10028","1010 Fifth Ave Unit 4BBManhattan, NY 10028",New York,New York County,New York,Manhattan,1010,"1010 5th Ave #4b, New York, NY 10028, USA",40.7789146,-73.9619806
Brokered by The Agency,Co-op for sale,549995,3,1.0,2184.207862,57 Montague St Apt 8K,"Brooklyn, NY 11201","57 Montague St Apt 8KBrooklyn, NY 11201",New York,Kings County,Brooklyn,Brooklyn Heights,57,"57 Montague St #8c, Brooklyn, NY 11201, USA",40.6957468,-73.9970996
Brokered by Brown Harris Stevens,Condo for sale,995000,3,2.0,1175.0,2545 Frederick Douglass Blvd Apt D,"Manhattan, NY 10030","2545 Frederick Douglass Blvd Apt DManhattan, NY 10030",New York,New York County,New York,Manhattan,2545,"2545 Frederick Douglass Blvd c, New York, NY 10030, USA",40.817538,-73.94614
Brokered by BESMATCH REAL ESTATE,Condo for sale,330000,3,2.0,1067.0,776 Brook Ave Unit 33B,"Bronx, NY 10451","776 Brook Ave Unit 33BBronx, NY 10451",New York,Bronx County,The Bronx,Woodstock,776A,"776A Brook Ave #33A, Bronx, NY 10451, USA",40.8203804,-73.9109368
Brokered by RE MAX Edge,Co-op for sale,288000,1,1.0,800.0,8853 Bay 16th St Apt 3A,"Brooklyn, NY 11214","8853 Bay 16th St Apt 3ABrooklyn, NY 11214",New York,Kings County,Brooklyn,Bath Beach,8853,"8853 Bay 16th St #3a, Brooklyn, NY 11214, USA",40.6028929,-74.0093853
Brokered by Hauseit LLC - Hauseit LLC,Co-op for sale,2399000,2,2.0,2391.0,249 W 29th St Apt 2E,"New York, NY 10001","249 W 29th St Apt 2ENew York, NY 10001",New York,New York County,New York,Manhattan,249,"249 W 29th St #2e, New York, NY 10001, USA",40.7489369,-73.9948023
Brokered by Properties Logan Inc,Co-op for sale,250000,3,1.0,2184.207862,37-30 83rd St Unit 5,"Jackson Heights, NY 11372","37-30 83rd St Unit 5Jackson Heights, NY 11372",New York,Queens County,Queens,Jackson Heights,3730,"3730 83rd St Apt 5n, Jackson Heights, NY 11372, USA",40.7493341,-73.8834178
Brokered by The Agency,Contingent,1495000,3,2.0,1590.0,301 E 52nd St Apt 4B,"New York, NY 10022","301 E 52nd St Apt 4BNew York, NY 10022",New York,New York County,New York,Manhattan,301,"301 E 52nd St #4b, New York, NY 10022, USA",40.7561092,-73.9669846
Brokered by Concrete Jungle NYC Realty,Co-op for sale,225000,1,1.0,2184.207862,84-40 153rd Ave Unit 5M,"Howard Beach, NY 11414","84-40 153rd Ave Unit 5MHoward Beach, NY 11414",New York,Queens County,Queens,Jamaica,84-40,"84-40 153rd Ave #5m, Jamaica, NY 11414, USA",40.6660965,-73.8478793
Brokered by Douglas Elliman - 187 Seventh Ave,Co-op for sale,380000,2,1.0,850.0,1855 E 12th St Apt 5A,"Brooklyn, NY 11229","1855 E 12th St Apt 5ABrooklyn, NY 11229",New York,Kings County,Brooklyn,Homecrest,1855,"1855 E 12th St #5a, Brooklyn, NY 11229, USA",40.6041775,-73.9603087
Brokered by Keller Williams NYC,Co-op for sale,150000,3,1.0,2184.207862,98-34 63rd Dr Unit 6GG,"Queens, NY 11374","98-34 63rd Dr Unit 6GGQueens, NY 11374",New York,Queens County,Queens,Rego Park,98-34,"98-34 63rd Dr #6g, Rego Park, NY 11374, USA",40.731183,-73.857622
Brokered by Great Riches Realty,Condo for sale,665000,2,1.0,1120.0,80-09 35th Ave Unit A8,"Jackson Heights, NY 11372","80-09 35th Ave Unit A8Jackson Heights, NY 11372",New York,Queens County,Queens,Flushing,8009,"8009 35th Ave APT A8, Flushing, NY 11372, USA",40.7519149,-73.8861292
Brokered by Corcoran Williamsburg Bedford,Condo for sale,899000,1,2.0,1151.0,95 Dikeman St Apt 1R,"Brooklyn, NY 11231","95 Dikeman St Apt 1RBrooklyn, NY 11231",New York,Kings County,Brooklyn,Red Hook,95,"95 Dikeman St #1r, Brooklyn, NY 11231, USA",40.6764286,-74.013234
"Brokered by CORE Group Marketing, LLC",Co-op for sale,437500,1,1.0,2184.207862,35-15 84th St Unit 1I,"Queens, NY 11372","35-15 84th St Unit 1IQueens, NY 11372",New York,Queens County,Queens,Jackson Heights,35-15,"35-15 84th St #1a, Jackson Heights, NY 11372, USA",40.7513972,-73.8824773
Brokered by City Connections Realty,Condo for sale,1385000,1,2.0,875.0,301 W 57th St Apt 34E,"New York, NY 10019","301 W 57th St Apt 34ENew York, NY 10019",New York,New York County,New York,Manhattan,301,"301 W 57th St #34e, New York, NY 10019, USA",40.767078,-73.9831196
Brokered by Keller Williams NYC,Co-op for sale,399000,1,1.0,2184.207862,108 E 86th St Apt 1SW,"New York, NY 10028","108 E 86th St Apt 1SWNew York, NY 10028",New York,New York County,New York,Manhattan,108,"108 East 86th St #1fw, New York, NY 10028, USA",40.7797181,-73.9566929
Brokered by City Connections Realty,Condo for sale,1385000,1,2.0,875.0,301 W 57th St Apt 34E,"New York, NY 10019","301 W 57th St Apt 34ENew York, NY 10019",New York,New York County,New York,Manhattan,301,"301 W 57th St #34e, New York, NY 10019, USA",40.767078,-73.9831196
Brokered by Mitra Hakimi Realty Group LLC,Co-op for sale,318000,1,1.0,2184.207862,110-35 72nd Rd Unit 607,"Forest Hills, NY 11375","110-35 72nd Rd Unit 607Forest Hills, NY 11375",New York,Queens County,Queens,Forest Hills,11035,"11035 72nd Rd Apt 607, Forest Hills, NY 11375, USA",40.7203199,-73.84052
Brokered by COMPASS,Co-op for sale,1300000,2,2.0,2184.207862,425 W 24th St Unit 3GF,"Manhattan, NY 10011","425 W 24th St Unit 3GFManhattan, NY 10011",New York,New York County,New York,Manhattan,425,"425 W 24th St #3f, New York, NY 10011, USA",40.747844,-74.00189
Brokered by Brown Harris Stevens,Condo for sale,625000,3,1.0,458.0,173 McGuinness Blvd Unit 3C,"Brooklyn, NY 11222","173 McGuinness Blvd Unit 3CBrooklyn, NY 11222",New York,Kings County,Brooklyn,Greenpoint,173,"173 McGuinness Blvd #3c, Brooklyn, NY 11222, USA",40.7282026,-73.9504745
Brokered by Corcoran Chelsea/Flatiron,Co-op for sale,290000,3,1.0,2184.207862,301 E 63rd St Apt 8D,"New York, NY 10065","301 E 63rd St Apt 8DNew York, NY 10065",New York,New York County,New York,Manhattan,301,"301 E 63rd St #8d, New York, NY 10065, USA",40.7631466,-73.9622114
Brokered by Nyc Realty Brokers Llc,Co-op for sale,419000,2,1.0,1000.0,458 Neptune Ave Apt 6H,"Brooklyn, NY 11224","458 Neptune Ave Apt 6HBrooklyn, NY 11224",New York,Kings County,Brooklyn,Coney Island,458,"458 Neptune Ave #6h, Brooklyn, NY 11224, USA",40.5794182,-73.9709078
"Brokered by BEN BAY REALTY, CO.",Co-op for sale,448000,1,1.0,750.0,221 McDonald Ave Apt 2J,"Brooklyn, NY 11218","221 McDonald Ave Apt 2JBrooklyn, NY 11218",New York,Kings County,Brooklyn,Windsor Terrace,221,"221 McDonald Ave #2j, Brooklyn, NY 11218, USA",40.6492641,-73.98034
